Input_Phase;Observed_Phase;Target_Output;Observed_Output;Output_State;Fidelity;Dimension
"0.381910120786505;-1.472161505899622;1.047197551196598;0.740941663582498";"0.730650476222264;-0.597966269332115;0.903660307376773;0.901210615386012";"0.840850913584606;0.054108924000353;0.049607202753994;0.055432959661047";"0.762989210494884;0.092327905402715;0.100330453477724;0.044352430624677";"0.8705;0.0388;0.0843;0.0064";0.933002183976054;4
"0.486465260698327;1.054225722681139;-0.523598775598299;0.189939096347630";"0.050610584443111;0.922807911859896;0.263087308473224;0.041822832869124";"0.844574409896074;0.054739765220684;0.049059620482181;0.051626204401060";"0.712344076717860;0.071634580719590;0.134112048453385;0.081909294109164";"0.8069;0.0284;0.0801;0.0846";0.898285052974778;4
"-0.740941663582498;0.381910120786505;-1.472161505899622;-0.509601715155365";"-0.316380197945815;-0.082803395887787;-1.166581391733499;-0.225193043506558";"0.840257879656161;0.054651946738581;0.054314849148829;0.050775324456430";"0.722586412395709;0.090435041716329;0.080788140643623;0.106190405244338";"0.8829;0.0484;0.0246;0.0441";0.939605571716205;4
"-0.740941663582498;0.381910120786505;-1.472161505899622;-0.509601715155365";"0.044264247031099;0.398599019236061;-0.779664027616211;0.056311765957899";"0.841809543482752;0.054038421813675;0.053997108035530;0.050154926668044";"0.758036258379037;0.090988726386350;0.064861365021328;0.086113650213285";"0.9145;0.0477;0.0133;0.0246";0.956283785635668;4
"-0.740941663582498;-0.434281539064113;1.047197551196598;-1.417622243395963";"0.543316073669450;0.909889181015102;1.476679890372860;-0.224898355240745";"0.849006882989184;0.052232055063913;0.047630285152409;0.051130776794494";"0.743572204562830;0.094274333078502;0.074035327727035;0.088118134631634";"0.8714;0.0398;0.0588;0.0300";0.933514717027841;4
"0.753741039728837;0.486465260698327;-0.174532925199433;-0.434281539064113";"-0.826781213540810;-1.146189177565154;-2.273433047040375;-1.726643600502261";"0.851097560975610;0.050731707317073;0.046788617886179;0.051382113821138";"0.765816405644286;0.070282214296790;0.054504574352613;0.109396805706311";"0.9192;0.0336;0.0034;0.0438";0.958772323975394;4
0.753741039728837,0.486465260698327,-0.174532925199433,-0.434281539064113;"-0.042944101833510;-1.085441979355720;-2.054902331789337;-2.108370581104119";"0.832021103896104;0.052394480519480;0.062743506493507;0.052840909090909";"0.755796933980433;0.053847931592327;0.058161928973115;0.132193205454125";"0.8435;0.0222;0.0798;0.0545";0.918414150992488;4
-0.740941663582498,-0.434281539064113,1.047197551196598,-1.417622243395963;"-1.890817557874330;-1.636350036550699;-0.400319809167124;-2.039085577503001";"0.821866389809528;0.055544463522741;0.069839875414287;0.052749271253444";"0.714351231214281;0.095180977915755;0.092041205108305;0.098426585761660";"0.9128;0.0353;0.0063;0.0456";0.955393842187080;4
-0.740941663582498,-0.434281539064113,1.047197551196598,1.417622243395963;"-0.017830746395578;0.612373977586559;1.306928195080947;2.570706818148088";"0.819023701145817;0.055171872547481;0.075380630984147;0.050423795322555";"0.723895809739524;0.150887127217818;0.055190637976595;0.070026425066063";"0.8849;0.0874;0.0089;0.0189";0.940665211429696;4
0.174532925199433,-0.434281539064113,1.047197551196598,-1.417622243395963;"-1.139178403381150;-1.444827386861213;0.834305356648081;-2.226021330773500";"0.851093398732884;0.050929899856938;0.046024933578582;0.051951767831596";"0.747519564002236;0.055477920626048;0.136878144214645;0.060124371157071";"0.8485;0.0096;0.0970;0.0448";0.921152512757315;4
